Strain	Variance
AB1	5.21653379332937e-4
BRC20263	0.0045897862804655295
CB4854	3.8419715254112185e-4
CB4855	0.0013321890787664219
CB4856	0.006346591893425193
CB4857	7.961201910866592e-4
CB4932	1.7579059303846875e-4
CX11264	6.622726648787362e-4
CX11271	0.0045171580207736175
CX11276	7.05433638340475e-4
CX11292	4.6358591163768535e-4
CX11307	8.163053893586386e-4
CX11314	0.006070828276333039
DL226	0.00123761282946985
DL238	0.0011343547282484415
ECA1069	7.137899930349388e-4
ECA1074	8.204183866495421e-4
ECA2546	0.010693704280443816
ECA2549	8.324630175694352e-4
ECA2551	1.648115999087699e-4
ECA2554	8.357074865073949e-4
ECA2555	0.009334351786294938
ECA2559	6.723899185501418e-4
ECA2561	8.785378492061817e-4
ECA2583	3.086403584185481e-4
ECA2595	6.818989402082048e-4
ECA2601	7.143298314235089e-4
ECA2602	0.0023756751241250677
ECA2603	8.550421418105665e-4
ECA2607	1.957736119598426e-4
ECA2615	0.001171077559948083
ECA2656	0.0018221648829402852
ECA2659	0.0013795597961646301
ECA36	0.005250503018003784
ECA396	0.003927011113900149
ECA594	7.198331898600788e-4
ECA640	8.399866482471851e-4
ECA923	0.029294158291872412
ED3017	0.009994343731326355
ED3046	6.790922851764575e-4
ED3048	0.0022109180204533643
ED3049	7.514472728500168e-4
ED3052	0.0023400470594191762
ED3073	5.846845940893403e-4
EG4349	3.77436721281134e-4
EG4724	0.0022844401000099487
JT11398	0.0014178599814461635
JU1172	5.909329142671661e-4
JU1200	0.00164141709137173
JU1212	6.081890183993947e-4
JU1213	0.006417165919192849
JU1249	0.002248752912039285
JU1395	2.646823152110115e-4
JU1491	6.499073881473659e-4
JU1530	0.001689519246420581
JU1543	2.890758743027805e-4
JU1568	0.0013545775212218207
JU1666	0.002629183549579842
JU1792	0.0030184330234227516
JU1793	0.0027941311276870277
JU1934	7.479387557421801e-4
JU2106	6.727289924921539e-4
JU2131	0.0015032379337210108
JU2141	0.0024889825129574693
JU2234	0.0017520418147292387
JU2257	3.094004597716662e-4
JU2316	8.826307123118573e-4
JU2466	1.7365162530116825e-4
JU2513	0.003056158497577445
JU2534	3.481524704879554e-4
JU2565	0.0012602475938738732
JU2570	0.005021291040971528
JU2572	0.0013615132120518758
JU2576	0.0036048619293336153
JU2578	0.0011195689909234868
JU258	0.001909570348568286
JU2587	0.0028641861479433003
JU2592	0.00111247162373727
JU2610	0.003238868713442673
JU2800	0.0013295696234660276
JU2811	0.002986276561478853
JU2838	3.742266402333571e-4
JU2862	0.009172125414069632
JU2866	0.002719568866361615
JU2879	0.0018949980071175363
JU2906	4.6674733533805707e-4
JU310	1.8500809562554428e-4
JU3127	3.786410509761181e-4
JU3128	0.0010935419701722134
JU3132	4.5825380143056595e-4
JU3134	6.9286087689774e-4
JU3135	6.588055228471183e-4
JU3137	0.0011454662015621953
JU3140	0.0012928650433781104
JU3141	6.777529489288602e-4
JU3144	4.605582715887491e-4
JU3224	8.696125879770951e-4
JU3225	8.687299711343348e-4
JU323	9.471703581195812e-4
JU3291	0.0035262942287344104
JU3318	0.0013722754029929444
JU346	0.0013474591061654073
JU4047	6.376977589958587e-4
JU4098	9.986136016877283e-4
JU774	5.186946224822917e-4
JU775	6.167378133338209e-4
JU792	0.0017034774496971841
LKC34	4.108581263936725e-4
MY1	9.33487122759437e-4
MY16	0.006811756913441644
MY2453	0.001238198871645088
MY2530	0.0010390620704742305
MY2535	6.588029177635099e-4
MY2693	0.0013715083205661524
MY2741	8.249050206312588e-4
MY518	1.8745328175462925e-4
MY679	5.581189331638264e-4
MY772	6.763155405914149e-4
MY795	3.649698960480105e-4
N2	0.003239348206866259
NIC1	6.853639166145876e-4
NIC1049	7.935910865008713e-4
NIC166	0.0011673898134605407
NIC1779	5.813264860442791e-4
NIC1783	0.0013917555428684363
NIC1786	0.004354309339454165
NIC1791	0.0021505769916892693
NIC1794	8.531403303270351e-4
NIC1798	6.700167121242542e-4
NIC1799	0.0019224965795622499
NIC1808	5.483175309645525e-4
NIC1809	0.001796460943177712
NIC1810	9.22907743415877e-4
NIC1811	0.0010663070454820923
NIC1812	0.0013674151293991035
NIC2	4.1223329314970126e-4
NIC207	4.268510212626856e-4
NIC252	8.080074712090303e-4
NIC255	7.074289137126149e-4
NIC258	9.915187867019235e-4
NIC259	0.0028184476941734084
NIC260	0.0010782126024373785
NIC262	0.0021195340883841678
NIC267	0.0011715073607270912
NIC272	0.0025661567838474253
NIC275	0.0011318192543869007
NIC3	0.0014062669306928973
NIC501	0.002231887458255626
NIC514	6.878599350604831e-4
NIC515	0.0012828572673476422
NIC523	0.0015161523201269512
NIC526	5.568473882830928e-4
NIC528	0.0036454906674683136
NIC529	0.0010582066225734432
PB303	9.917242321276383e-4
PB306	0.005077388878846103
PX179	0.001106013268768849
QG2811	6.001600589416662e-4
QG2827	0.0034771357605965273
QG2828	0.006397583897924872
QG2832	0.0018301106389573417
QG2835	2.7183147032689206e-4
QG2837	0.001016673196765715
QG2841	7.449539182626702e-4
QG2854	2.556196639013988e-4
QG2855	0.0010756104468186826
QG2873	0.002020303923726491
QG2874	3.964759212140319e-4
QG4003	0.0021764105775782636
QG4008	9.594443364975223e-4
QG4017	0.0015003684087813872
QG4018	7.816866782388817e-4
QG4080	0.0015164976191052331
QG4103	0.004836958923368522
QG4135	0.0013730057520965635
QG4138	0.004522774373863372
QG4228	0.01466280056399748
QG557	0.0010057533919538152
QW947	0.0012127586371261832
RC301	6.323578172329834e-4
WN2001	0.0014197377434006279
WN2050	0.002450096720183665
WN2064	0.0013706008310794195
WN2066	7.46650591445701e-4
WN2069	5.049735973165876e-5
WN2082	0.004961685233939807
WN2086	0.005247983440542388
XZ1515	0.007130100821843977
