Strain	mean
AB1	0.006142170992330862
BRC20263	0.029162214294497918
CB4854	0.009856761834179571
CB4855	0.02155533146043399
CB4856	0.008694404064025682
CB4857	-0.02012038810779647
CB4932	-0.008614354488711605
CX11264	0.00948205358167112
CX11271	-0.0054271312880547545
CX11276	-8.629235413870005e-4
CX11292	-0.041937135120413645
CX11307	-0.0033799879926692776
CX11314	0.04024695899563877
DL226	0.0635470070310325
DL238	0.013764140802967091
ECA1069	0.019964876379637064
ECA1074	-0.06245200591171869
ECA2546	0.01588889551161502
ECA2549	-0.04921294949842689
ECA2551	0.03767958929891641
ECA2554	0.023084629666796964
ECA2555	-0.0336645063177795
ECA2559	-0.05345380319576317
ECA2561	-0.004152611940199221
ECA2583	0.02839219811909293
ECA2595	-0.012047638488720886
ECA2601	0.017629215919184014
ECA2602	-0.023406478352424986
ECA2603	-0.04372203496066531
ECA2607	-0.00219737495411639
ECA2615	0.008802812408540828
ECA2656	-0.007860856004130348
ECA2659	-5.794174710920039e-4
ECA36	0.008386941231939594
ECA396	-0.06369703020848187
ECA594	0.020487730229147676
ECA640	0.01437658583899132
ECA923	0.008461177544411485
ED3017	-0.0066111400357460924
ED3046	0.02858214067859699
ED3048	-0.011520015230190014
ED3049	0.03141287420777173
ED3052	-0.09693211185583456
ED3073	-0.02843234984033205
EG4349	0.04643375677236337
EG4724	-0.039351475170372185
JT11398	-0.03300698458990162
JU1172	0.006430156770147449
JU1200	0.05129288494625031
JU1212	-0.04400407580443514
JU1213	-0.016843690853769605
JU1249	-0.12667143026918726
JU1395	0.051476181308636626
JU1491	-0.02116367348612347
JU1530	-0.010183558387367755
JU1543	0.04042975432074338
JU1568	-0.03791630380972586
JU1666	-0.02953542936172406
JU1792	-0.03620554547815437
JU1793	-0.12551391549347427
JU1934	-0.0858565730782834
JU2106	0.04425275320219093
JU2131	-0.011112168114569988
JU2141	-0.13286960324176247
JU2234	0.017718249721441523
JU2257	-0.0011839693525586203
JU2316	0.03143285270812823
JU2466	-0.00296627036682517
JU2513	-0.012987370319297375
JU2534	-0.010243704363528188
JU2565	-0.044828948897318345
JU2570	-0.0774624398909069
