h2,sim_id,trait,causal_snp,p_default,p_modified,detected_default,detected_modified,log10p_default,log10p_modified,log10p_ratio
0005,1,Trait_h2_0005_sim_1,I:62576,0.26542670670349705,0.18697730791022155,FALSE,FALSE,0.5760553814322977,0.7282110974601195,1.264133833190662
0005,2,Trait_h2_0005_sim_2,I:565394,0.530297410768746,0.4755800560406349,FALSE,FALSE,0.275480493363412,0.32277636627603895,1.1716850160066852
0005,3,Trait_h2_0005_sim_3,I:614095,0.07586346290518965,0.03145214388936919,FALSE,TRUE,1.1199673371369152,1.5023497461618187,1.3414228222069637
0005,4,Trait_h2_0005_sim_4,I:638641,0.9435991069278693,0.9219729050977397,FALSE,FALSE,0.025212478825528465,0.03528184178741641,1.3993801256738145
0005,5,Trait_h2_0005_sim_5,I:680197,0.8248060495153473,0.7789646856965945,FALSE,FALSE,0.08364816239294592,0.10848223058769549,1.2968871937447826
0005,6,Trait_h2_0005_sim_6,I:756171,0.5698543211986242,0.5912340300547384,FALSE,FALSE,0.24423615412715688,0.22824057691421293,0.9345077420248922
0005,7,Trait_h2_0005_sim_7,I:781875,0.24666132873814506,0.12842169938534978,FALSE,FALSE,0.6078989333318714,0.8913615874268683,1.466298982532094
0005,8,Trait_h2_0005_sim_8,I:840826,0.404316608277548,0.2910931021847727,FALSE,FALSE,0.39327841860907187,0.5359680855903316,1.362820994566439
0005,9,Trait_h2_0005_sim_9,I:884224,0.10929139365381361,0.01798852142105038,FALSE,TRUE,0.9614140359992425,1.7450045323225238,1.8150395843855756
0005,10,Trait_h2_0005_sim_10,I:996230,0.5201994259343088,0.45220573146535326,FALSE,FALSE,0.28383013140523544,0.34466393750591384,1.21433174060658
0005,11,Trait_h2_0005_sim_11,I:1038867,0.5245609935736024,0.4082875307138242,FALSE,FALSE,0.280204006741411,0.389033883424718,1.3883951480527605
0005,12,Trait_h2_0005_sim_12,I:1149835,0.9290124473736947,0.8787846762630178,FALSE,FALSE,0.0319784670725642,0.05611752466053538,1.7548534935460114
0005,13,Trait_h2_0005_sim_13,I:1171021,0.5676887243258715,0.3215099575222612,FALSE,FALSE,0.24588973183004992,0.4928055719465911,2.004173042440017
0005,14,Trait_h2_0005_sim_14,I:1229353,0.106918578014545,0.043682821679004016,FALSE,TRUE,0.9709468258652115,1.3596893162730572,1.4003746446788545
0005,15,Trait_h2_0005_sim_15,I:1229842,0.7701673604308001,0.6597202625683565,FALSE,FALSE,0.11341489065377326,0.18064017684650618,1.5927377419774145
0005,16,Trait_h2_0005_sim_16,I:1235968,0.056053653187028714,0.021561784398399057,FALSE,TRUE,1.2513960778546214,1.6663153008920375,1.331565065913223
0005,17,Trait_h2_0005_sim_17,I:1255890,0.11925595586559888,0.0847424951691017,FALSE,FALSE,0.923519922267105,1.0718987527232904,1.160666626543299
0005,18,Trait_h2_0005_sim_18,I:1336302,0.17381531885051194,0.09719801311348618,FALSE,FALSE,0.7599119505624476,1.012342612673196,1.332184093070141
0005,19,Trait_h2_0005_sim_19,I:1345095,0.2667774494129952,0.2330387248427308,FALSE,FALSE,0.5738508839361951,0.6325719047762041,1.1023280132239686
0005,20,Trait_h2_0005_sim_20,I:1415661,0.0025339293972526876,4.177458538029522e-5,TRUE,TRUE,2.5962054900092992,4.379087851858113,1.6867262120466542
